FEC_INF;CAPITAL;INTERES;TOTAL
31/12/2001;77.331;1.745;79.076
30/6/2002;70.858;1.636;72.494
30/9/2002;69.296;1.306;70.603
31/12/2002;66.664;1.194;67.859
31/3/2003;66.053;1.200;67.253
30/6/2003;65.861;1.277;67.138
30/9/2003;63.028;1.324;64.352
31/12/2003;60.727;1.258;61.985
31/3/2004;58.611;1.331;59.942
30/6/2004;58.048;1.405;59.453
30/9/2004;57.186;1.617;58.803
31/12/2004;54.468;1.536;56.004
31/3/2005;51.869;1.679;53.549
30/6/2005;52.251;1.903;54.154
30/9/2005;49.609;1.600;51.210
31/12/2005;46.957;1.630;48.587
31/3/2006;47.422;1.743;49.165
30/6/2006;47.418;1.744;49.162
30/9/2006;47.112;1.668;48.780
31/12/2006;46.882;1.720;48.601
31/3/2007;46.333;1.620;47.953
30/6/2007;48.988;1.692;50.680
30/9/2007;50.043;1.693;51.736
31/12/2007;50.001;1.526;51.527
31/3/2008;52.575;1.593;54.168
30/6/2008;56.860;1.491;58.351
30/9/2008;58.320;1.605;59.925
31/12/2008;56.349;1.380;57.729
31/3/2009;53.313;1.330;54.643
30/6/2009;53.471;1.283;54.754
30/9/2009;52.506;1.323;53.829
31/12/2009;50.141;1.239;51.379
31/3/2010;50.273;1.272;51.544
30/6/2010;53.107;1.293;54.400
30/9/2010;54.284;1.399;55.684
31/12/2010;54.991;973;55.964
31/3/2011;57.664;1.092;58.756
30/6/2011;62.105;1.067;63.172
30/9/2011;62.615;1.096;63.711
31/12/2011;62.763;905;63.668
31/3/2012;63.908;930;64.838
30/6/2012;66.923;953;67.876
30/9/2012;65.876;923;66.799
31/12/2012;63.709;908;64.617
31/3/2013;63.955;886;64.840
30/6/2013;65.487;913;66.400
30/9/2013;65.281;941;66.222
31/12/2013;63.128;916;64.045
31/3/2014;63.755;907;64.662
30/6/2014;63.696;928;64.624
30/9/2014;61.020;980;62.000
31/12/2014;59.583;930;60.513
31/3/2015;61.569;931;62.500
30/6/2015;66.428;1.028;67.456
30/9/2015;66.317;1.156;67.473
31/12/2015;64.706;1.047;65.753
31/3/2016;64.342;1.023;65.365
30/6/2016;61.221;1.092;62.314
30/9/2016;61.551;1.181;62.733
31/12/2016;58.535;833;59.368
31/3/2017;61.647;817;62.464
30/6/2017;62.969;883;63.853
